efield,drift
1.57513e-3,1.02945e1
3.06105e-3,2.40320e3
4.03748e-3,2.44895e3
4.57319e-3,2.46954e3
5.03852e-3,2.48556e3
6.03197e-3,2.51530e3
6.97565e-3,2.53932e3
7.95589e-3,3.70260e3
9.13689e-3,4.86702e3
9.92820e-3,4.88075e3
1.19680e-2,6.05318e3
1.39365e-2,6.07835e3
1.71524e-2,7.25421e3
1.98353e-2,8.41978e3
2.20744e-2,9.49516e3
2.38422e-2,1.04357e4
2.56513e-2,1.18521e4
2.78135e-2,1.30240e4
3.00393e-2,1.66009e4
3.17704e-2,1.74141e4
3.50390e-2,2.45564e4
3.78432e-2,2.79162e4
4.08685e-2,3.51710e4
4.41355e-2,4.25689e4
4.76673e-2,4.63441e4
5.14785e-2,5.31681e4
5.55943e-2,6.00711e4
6.00391e-2,6.69390e4
6.45017e-2,7.22800e4
7.00330e-2,7.40967e4
7.59548e-2,7.84826e4
8.16910e-2,8.09185e4
8.82350e-2,8.08683e4
9.52972e-2,8.38958e4
1.02922e-1,8.83135e4
1.10386e-1,9.00498e4
1.20068e-1,8.96708e4
1.27433e-1,9.04547e4
1.40064e-1,9.34250e4
1.51698e-1,9.67241e4
1.63392e-1,9.64487e4
1.76232e-1,9.71205e4
1.90620e-1,9.60008e4
2.04440e-1,9.89551e4
2.23936e-1,9.81720e4
2.42198e-1,1.01360e+5
2.61230e-1,1.02007e+5
2.84988e-1,1.03097e+5
3.04737e-1,1.05486e+5
3.29144e-1,1.06121e+5
3.55501e-1,1.07391e+5
3.83958e-1,1.09968e+5
4.14709e-1,1.10735e+5
4.47925e-1,1.11242e+5
4.83794e-1,1.12429e+5
5.22553e-1,1.12028e+5
5.64374e-1,1.15337e+5
6.09546e-1,1.18375e+5
6.58328e-1,1.21732e+5
7.11084e-1,1.20383e+5
7.68005e-1,1.23001e+5
8.26574e-1,1.26074e+5
8.95854e-1,1.29615e+5
9.67586e-1,1.31196e+5
1.04425e+0,1.32559e+5
1.12872e+0,1.35299e+5
1.21906e+0,1.38193e+5
1.31666e+0,1.40147e+5
1.42207e+0,1.42398e+5
1.53593e+0,1.44027e+5
1.65893e+0,1.45186e+5
1.79167e+0,1.49407e+5
1.93502e+0,1.53590e+5
2.08988e+0,1.57067e+5
2.25716e+0,1.59876e+5
2.43782e+0,1.62809e+5
2.63282e+0,1.67980e+5
2.84350e+0,1.71895e+5
3.07073e+0,1.80423e+5
3.31634e+0,1.85880e+5
3.58127e+0,1.95793e+5
3.86710e+0,2.08779e+5
4.17566e+0,2.22897e+5
4.53523e+0,2.45053e+5
4.83437e+0,2.53438e+5
5.59461e+0,3.04524e+5
6.01466e+0,3.26686e+5
6.51944e+0,3.59147e+5
7.07877e+0,3.95388e+5
7.54482e+0,4.09236e+5
8.19662e+0,4.67234e+5
8.84787e+0,4.96370e+5
9.54969e+0,5.31399e+5
1.03054e+1,5.74820e+5
1.11219e+1,6.13962e+5
1.20007e+1,6.62310e+5
1.29461e+1,7.21835e+5
1.39668e+1,7.78112e+5
1.50658e+1,8.41505e+5
1.62478e+1,9.15116e+5
1.75186e+1,9.99377e+5
1.88875e+1,1.08720e+6
1.95587e+1,1.11669e+6
2.01891e+1,1.13116e+6
2.10348e+1,1.18080e+6
